Año	Mes	Moneda	Partida	Nombre Partida	Capítulo	Nombre Capítulo	Programa	Nombre Programa	Subtítulo	Nombre Subtítulo	Item	Nombre Item	Asignación	Nombre Asignación	Monto Ley Inicial	Monto Ley Vigente a AGOSTO	
2018	Agosto	DOLARES	5	MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA	31	CARABINEROS DE CHILE	1	CARABINEROS DE CHILE	9	APORTE FISCAL					79.918	72.899	
2018	Agosto	DOLARES	5	MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA	31	CARABINEROS DE CHILE	1	CARABINEROS DE CHILE	9	APORTE FISCAL	1	Libre			79.918	72.899	
2018	Agosto	DOLARES	5	MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA	31	CARABINEROS DE CHILE	1	CARABINEROS DE CHILE	11	VENTA DE ACTIVOS FINANCIEROS					0	-46.175	
2018	Agosto	DOLARES	5	MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA	31	CARABINEROS DE CHILE	1	CARABINEROS DE CHILE	11	VENTA DE ACTIVOS FINANCIEROS	3	Operaciones de Cambio			0	-46.175	
2018	Agosto	DOLARES	5	MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA	31	CARABINEROS DE CHILE	1	CARABINEROS DE CHILE	12	RECUPERACIÓN DE PRÉSTAMOS					120	120	
2018	Agosto	DOLARES	5	MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA	31	CARABINEROS DE CHILE	1	CARABINEROS DE CHILE	12	RECUPERACIÓN DE PRÉSTAMOS	7	Por Anticipos por Cambio de Residencia			120	120	
2018	Agosto	DOLARES	5	MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA	31	CARABINEROS DE CHILE	1	CARABINEROS DE CHILE	15	SALDO INICIAL DE CAJA					0	23.102	
2018	Agosto	DOLARES	5	MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA	31	CARABINEROS DE CHILE	1	CARABINEROS DE CHILE	21	GASTOS EN PERSONAL					6.158	5.947	
2018	Agosto	DOLARES	5	MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA	31	CARABINEROS DE CHILE	1	CARABINEROS DE CHILE	22	BIENES Y SERVICIOS DE CONSUMO					39.980	38.859	
2018	Agosto	DOLARES	5	MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA	31	CARABINEROS DE CHILE	1	CARABINEROS DE CHILE	29	ADQUISICIÓN DE ACTIVOS NO FINANCIEROS					33.780	5.020	
2018	Agosto	DOLARES	5	MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA	31	CARABINEROS DE CHILE	1	CARABINEROS DE CHILE	29	ADQUISICIÓN DE ACTIVOS NO FINANCIEROS	3	Vehículos			33.780	5.020	
2018	Agosto	DOLARES	5	MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA	31	CARABINEROS DE CHILE	1	CARABINEROS DE CHILE	32	PRÉSTAMOS					120	120	
