_id,Ano,Mes,Moneda,Partida,Nombre Partida,Capitulo,Nombre Capitulo,Programa,Nombre Programa,Subtitulo,Nombre Subtitulo,Item,Nombre Item,Asignacion,Nombre Asignacion,Monto Ley Inicial,Monto Ley Vigente a AGOSTO
1,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,08,OTROS INGRESOS CORRIENTES,,,,,1.524,1.524
2,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,08,OTROS INGRESOS CORRIENTES,02,Multas y Sanciones Pecuniarias,,,10,10
3,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,08,OTROS INGRESOS CORRIENTES,99,Otros,,,1.514,1.514
4,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,09,APORTE FISCAL,,,,,147.293,159.293
5,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,09,APORTE FISCAL,01,Libre,,,147.293,159.293
6,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,10,VENTA DE ACTIVOS NO FINANCIEROS,,,,,160,160
7,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,10,VENTA DE ACTIVOS NO FINANCIEROS,03,Vehículos,,,160,160
8,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,11,VENTA DE ACTIVOS FINANCIEROS,,,,,2.037,2.037
9,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,11,VENTA DE ACTIVOS FINANCIEROS,03,Operaciones de Cambio,,,2.037,2.037
10,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,12,RECUPERACIÓN DE PRÉSTAMOS,,,,,100,100
11,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,12,RECUPERACIÓN DE PRÉSTAMOS,07,Por Anticipos por Cambio de Residencia,,,100,100
12,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,21,GASTOS EN PERSONAL,,,,,88.203,88.203
13,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,22,BIENES Y SERVICIOS DE CONSUMO,,,,,37.492,37.492
14,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,23,PRESTACIONES DE SEGURIDAD SOCIAL,,,,,110,110
15,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,23,PRESTACIONES DE SEGURIDAD SOCIAL,03,Prestaciones Sociales del Empleador,,,110,110
16,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,24,TRANSFERENCIAS CORRIENTES,,,,,22.798,34.798
17,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,24,TRANSFERENCIAS CORRIENTES,01,Al Sector Privado,,,215,215
18,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,24,TRANSFERENCIAS CORRIENTES,01,Al Sector Privado,003,Comunidades de Chilenos en el Exterior,35,35
19,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,24,TRANSFERENCIAS CORRIENTES,01,Al Sector Privado,004,Consejo Chile - California,120,120
20,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,24,TRANSFERENCIAS CORRIENTES,01,Al Sector Privado,008,Consejo Chile - Massachusetts,60,60
21,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,24,TRANSFERENCIAS CORRIENTES,03,A Otras Entidades Públicas,,,2.453,2.453
22,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,24,TRANSFERENCIAS CORRIENTES,03,A Otras Entidades Públicas,037,Programa de Actividades Específicas en el Exterior,421,421
23,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,24,TRANSFERENCIAS CORRIENTES,03,A Otras Entidades Públicas,614,Programa Posicionamiento de Chile en Asociaciones Estratégicas con Países Afines,15,15
24,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,24,TRANSFERENCIAS CORRIENTES,03,A Otras Entidades Públicas,619,Modernización de la Gestión Consular,249,249
25,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,24,TRANSFERENCIAS CORRIENTES,03,A Otras Entidades Públicas,625,Acercamientos Políticos y Estratégicos,35,35
26,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,24,TRANSFERENCIAS CORRIENTES,03,A Otras Entidades Públicas,627,Programa de Fortalecimiento de la Política Consular y Migratoria,126,126
27,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,24,TRANSFERENCIAS CORRIENTES,03,A Otras Entidades Públicas,629,Establecimiento y Desarrollo de Política Cultural con Visión Global al Exterior,1.325,1.325
28,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,24,TRANSFERENCIAS CORRIENTES,03,A Otras Entidades Públicas,631,Oficina OCDE,282,282
29,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,24,TRANSFERENCIAS CORRIENTES,06,A Gobiernos Extranjeros,,,10,10
30,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,24,TRANSFERENCIAS CORRIENTES,06,A Gobiernos Extranjeros,002,Departamento de Estado de Estados Unidos - Aporte Global Equality Fund,10,10
31,2022,Agosto,DOLARES,06,MINISTERIO DE RELACIONES EXTERIORES,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,01,SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR,24,TRANSFERENCIAS CORRIENTES,07,A Organismos Internacionales,,,20.120,32.120
