Partida;Capítulo;Programa;Subtítulo;Item;Asignación;Denominación;Monto Pesos;Monto Dólar
01;01;01;08;00;000;OTROS INGRESOS CORRIENTES;289290;0
01;01;01;08;01;000;Recuperaciones y Reembolsos por Licencias Médicas;98743;0
01;01;01;08;99;000;Otros;190547;0
01;01;01;09;00;000;APORTE FISCAL;18535183;0
01;01;01;09;01;000;Libre;18535183;0
01;01;01;15;00;000;SALDO INICIAL DE CAJA;1010;0
01;01;01;21;00;000;GASTOS EN PERSONAL;8592054;0
01;01;01;22;00;000;BIENES Y SERVICIOS DE CONSUMO;5843805;0
01;01;01;24;00;000;TRANSFERENCIAS CORRIENTES;4188014;0
01;01;01;24;03;000;A Otras Entidades Públicas;4188014;0
01;01;01;24;03;701;Apoyo Actividades Presidenciales;3551174;0
01;01;01;24;03;703;Cambio de Mando Presidencial;636840;0
01;01;01;29;00;000;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;200600;0
01;01;01;29;04;000;Mobiliario y Otros;22441;0
01;01;01;29;07;000;Programas Informáticos;178159;0
01;01;01;34;00;000;SERVICIO DE LA DEUDA;10;0
01;01;01;34;07;000;Deuda Flotante;10;0
01;01;01;35;00;000;SALDO FINAL DE CAJA;1000;0
02;01;01;08;00;000;OTROS INGRESOS CORRIENTES;288900;0
02;01;01;08;01;000;Recuperaciones y Reembolsos por Licencias Médicas;248184;0
02;01;01;08;99;000;Otros;40716;0
02;01;01;09;00;000;APORTE FISCAL;46483020;0
02;01;01;09;01;000;Libre;46483020;0
02;01;01;15;00;000;SALDO INICIAL DE CAJA;10;0
02;01;01;21;00;000;GASTOS EN PERSONAL;23771001;0
02;01;01;22;00;000;BIENES Y SERVICIOS DE CONSUMO;7066720;0
02;01;01;23;00;000;PRESTACIONES DE SEGURIDAD SOCIAL;10;0
02;01;01;23;01;000;Prestaciones Previsionales;10;0
02;01;01;24;00;000;TRANSFERENCIAS CORRIENTES;15588578;0
02;01;01;24;01;000;Al Sector Privado;793162;0
02;01;01;24;01;009;Aplicación Ley N° 19.672;793162;0
02;01;01;24;03;000;A Otras Entidades Públicas;14721631;0
02;01;01;24;03;001;Personal Apoyo Senadores;4702020;0
02;01;01;24;03;002;Asesoría Externa Senadores;1949098;0
02;01;01;24;03;003;Gastos Operacionales Senadores;5047635;0
02;01;01;24;03;004;Personal Apoyo Comités;791756;0
02;01;01;24;03;005;Asesoría Externa Comités;807430;0
02;01;01;24;03;006;Gastos Operacionales Comités;19139;0
02;01;01;24;03;007;Otras Transferencias;1404553;0
02;01;01;24;07;000;A Organismos Internacionales;73785;0
02;01;01;24;07;001;Asociación de Congresos;73785;0
02;01;01;29;00;000;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;345611;0
02;01;01;29;06;000;Equipos Informáticos;44224;0
02;01;01;29;07;000;Programas Informáticos;301387;0
02;01;01;34;00;000;SERVICIO DE LA DEUDA;10;0
02;01;01;34;07;000;Deuda Flotante;10;0
02;02;01;08;00;000;OTROS INGRESOS CORRIENTES;358056;0
02;02;01;08;01;000;Recuperaciones y Reembolsos por Licencias Médicas;291349;0
02;02;01;08;99;000;Otros;66707;0
02;02;01;09;00;000;APORTE FISCAL;73535393;0
02;02;01;09;01;000;Libre;73535393;0
02;02;01;15;00;000;SALDO INICIAL DE CAJA;10;0
02;02;01;21;00;000;GASTOS EN PERSONAL;38483766;0
02;02;01;22;00;000;BIENES Y SERVICIOS DE CONSUMO;5620583;0
02;02;01;23;00;000;PRESTACIONES DE SEGURIDAD SOCIAL;10;0
02;02;01;23;01;000;Prestaciones Previsionales;10;0
02;02;01;24;00;000;TRANSFERENCIAS CORRIENTES;29267881;0
02;02;01;24;03;000;A Otras Entidades Públicas;29177144;0
02;02;01;24;03;001;Personal Apoyo Labor Parlamentaria;12536017;0
02;02;01;24;03;002;Asesoría Externa Labor Parlamentaria;2045098;0
02;02;01;24;03;003;Gastos Operacionales Labor Parlamentaria;10792228;0
02;02;01;24;03;004;Personal Apoyo Comités;2039661;0
02;02;01;24;03;005;Asesoría Externa Comités;10;0
02;02;01;24;03;006;Gastos Operacionales Comités;34796;0
02;02;01;24;03;007;Otras Transferencias;1729334;0
02;02;01;24;07;000;A Organismos Internacionales;90737;0
